state,idProduct,combinacion_id,referencia,referencia_combinacion,cantidad,cantidad_referencia,ean13_producto,ean13_combinacion,precio_producto,precio_combinacion,precio_mayor,precio_m_combinacion
1.0,562.0,562.0,2954,PAN5WSMD6K,0.0,100.0,8400000006613,8400000003902,2.753228,0.0,0.85,0.0
1.0,563.0,,851,,42.0,,8400000005630,,6833904.0,,101.0,
1.0,564.0,,,,181.0,,8400000005647,,2.1,,0.84,
1.0,566.0,566.0,,PAN15WSMD,10.0,0.0,8400000903828,8400000003919,13.181818,0.0,5.98,0.0
1.0,568.0,568.0,,PAN15WSMD6K,40.0,0.0,8400000005685,8400000003933,26.6,0.0,11.48,0.0
1.0,569.0,569.0,,PAN25WSMD,40.0,100.0,8400000005692,8400000003940,17.092243,0.0,8.029999,0.0
1.0,570.0,570.0,,PAN25SMD4K,60.0,100.0,8400000005708,8400000003957,13.181818,0.0,5.98,0.0
1.0,571.0,571.0,,PAN25WSMD6K,20.0,100.0,8400000005715,8400000003964,8.22314,0.0,4.07,0.0
1.0,572.0,572.0,1040,5051,0.0,0.0,8400000000802,8400000003971,30.85124,0.0,12.34,0.0
1.0,573.0,573.0,1030,5037,0.0,0.0,8400000005739,8400000003988,17.140496,0.0,6.86,0.0
1.0,574.0,574.0,,5013,950.0,0.0,8400000005746,8400000003995,16.44628,0.0,7.19,0.0
1.0,576.0,576.0,,TIRA5IP20-6K,56.0,93.0,8400000005760,8400000004077,2.47,0.0,1.13,0.0
1.0,577.0,,24W ENERGYLED,,73.0,,8400000903828,,9.292144,,5.2,
1.0,578.0,,,,0.0,,8400000198099,,3.528926,,2.5,
1.0,579.0,579.0,,TIRAIP20-204,16.0,100.0,8400000000291,8400000004084,8.507643,0.0,4.8,0.0
1.0,580.0,,,,0.0,,8400000000834,,50.0,,32.95,
1.0,581.0,,,,0.0,,8400000001022,,1.795583,,1.16,
1.0,582.0,,G24-13W,,190.0,,8400000007221,,5.087486,,0.0,
1.0,583.0,,,,60.0,,8400000005838,,2.28,,1.05,
1.0,584.0,,878,,0.0,,8400000000834,,50404588.0,,1894.0,
1.0,586.0,,,,61.0,,8400000005869,,1.2,,0.47,
1.0,587.0,,TIRA220V12M,,0.0,,8400000000492,,6440585.0,,23.0,
1.0,588.0,,TIRA220V12M,,0.0,,8400000000492,,6.440585,,2.3,
1.0,589.0,,1,,16956.0,,8400000005890,,470271.0,,5.0,
1.0,590.0,,,,0.0,,8400000000933,,13.637883,,10.0,
1.0,592.0,592.0,,BOBINEON-C,0.0,0.0,8400000000932,8400000004176,12.38843,0.0,7.36,0.0
1.0,593.0,593.0,T8-CAR-60,BOBI25NEON-R,20.0,0.0,8400000005937,8400000004183,8.678652,0.0,3.65,0.0
1.0,594.0,594.0,8053,BOBINEON-V,20.0,0.0,8400000005944,8400000004190,12.801653,0.0,5.14,0.0
1.0,595.0,595.0,Module Lumiled 40W,BOBINEO-A,0.0,0.0,8400000000505,8400000004206,24.752066,0.0,12.0,0.0
1.0,598.0,,,,4.0,,8400000005982,,10.702479,,5.85,
1.0,599.0,,,,30.0,,8400000005999,,3.249151,,1.51,
1.0,600.0,,3021,,20.0,,8400000006002,,461.678665,,272.44,
1.0,601.0,,3014,,11.0,,8400000006019,,313.448989,,0.0,
1.0,602.0,,3038,,0.0,,8400000008310,,595.064852,,0.0,
1.0,603.0,,,,2.0,,8400000043242,,10.474236,,4.84,
1.0,604.0,,,,0.0,,8400000959495,,3.057754,,1.5,
1.0,605.0,,,,20.0,,8400000006057,,5.284144,,2.42,
1.0,607.0,,,,0.0,,8400000000433,,4.822424,,2.89,
1.0,609.0,609.0,,9115,60.0,17.0,8400000006095,8400000003056,37.603306,0.0,18.97,0.0
1.0,610.0,610.0,,9092,97.0,5.0,8400000008518,8400000003063,9.790204,0.0,0.0,0.0
1.0,611.0,611.0,W6007,COB15W6K,7.0,500.0,8400000006118,8400000004275,12.440827,0.0,5.14,0.0
1.0,612.0,612.0,,COB15W-3K,0.0,500.0,8400000008532,8400000004282,14.0,0.0,9.53,0.0
1.0,613.0,613.0,W6006A,COB15W-42K,0.0,500.0,8400000008549,8400000004299,10.0,0.0,6.63,0.0
1.0,614.0,,W6006,,0.0,,8400000008556,,8.794083,,4.57,
1.0,615.0,,W6019,,7.0,,8400000006156,,12.440827,,4.97,
1.0,616.0,,3616,,78.0,,8400000008570,,3.411609,,1.69,
1.0,617.0,,,,5.0,,9098765431,,17.947281,,9.89,
1.0,618.0,618.0,Alameda,2053,20.0,477.0,8400000008594,8400000006187,16.553568,0.0,7.88,0.0
1.0,619.0,619.0,4LINEAS,2015,20.0,212.0,8400000008600,8400000006194,15.005946,0.0,6.0,0.0
1.0,620.0,,CUADRADO,,20.0,,8400000008617,,26.463477,,10.28,
1.0,621.0,,,,23.0,,8400000006217,,26.463477,,10.29,
1.0,622.0,,W6056,,6.0,,8400000006224,,17.092243,,6.86,
1.0,623.0,,OVAL,,20.0,,8400000008686,,21.367443,,10.4,
1.0,624.0,,SINMARCO,,20.0,,8400000008709,,22.222481,,10.4,
1.0,625.0,,CONMARCO,,20.0,,8400000008716,,22.222481,,10.4,
1.0,626.0,,TOLEDO,,20.0,,8400000008723,,22.222481,,10.4,
1.0,627.0,,,,56.0,,8400000006279,,4.876033,,3.38,
1.0,628.0,,,,40.0,,8400000006286,,19.0,,8.02,
1.0,629.0,,,,60.0,,8400000006293,,4.123967,,2.42,
1.0,630.0,,,,20.0,,8400000098939,,6.570248,,3.09,
1.0,631.0,,,,1.0,,8400000098939,,4.917355,,2.0,
1.0,632.0,,,,0.0,,8400000006323,,7.396694,,3.564,
1.0,633.0,,5010,,94.0,,8400000006330,,0.22314,,0.09,
1.0,634.0,,,,40.0,,8400000006347,,58.2,,19.4,
1.0,635.0,,,,0.0,,8400000001731,,77.644628,,42.51,
1.0,636.0,,,,0.0,,8400000000834,,46.132231,,23.65,
1.0,637.0,,demo,,13.0,,8400000009065,,103.459799,,0.0,
1.0,639.0,,,,0.0,,8400000000834,,41.280992,,21.03,
